,dataset,accuracy,f1_score,CBA_count,CBA_RG_runtime,CBA_CB_runtime,rule_count
0,German,0.7179999999999999,0.26299597196515667,3837,34.947663855552676,1.3123052358627318,163
1,Australian,0.8304347826086957,0.8030826121310589,3569,18.548307991027833,0.5303731679916381,115
2,Crx,0.8636596736596737,0.8725912099202608,3169,18.408932089805603,0.33189988136291504,126
3,Hepatitis,0.6941666666666667,0.64554307062047,9145,33.317524147033694,0.09255712032318116,63
4,Ionosphere,0.8403174603174604,0.8712278837295464,17496,47.94047358036041,0.8778484582901,30
5,Pumpkin,0.8792000000000002,0.8730429115402213,3269,26.385858726501464,3.838053059577942,241
6,Mushroom,1.0,1.0,15496,94.1601354598999,0.49077961444854734,22
7,Diabetes,0.9596153846153846,0.9662115218962308,6762,31.477960801124574,0.13224465847015382,43
